Intent,Input,Random sort
Others,The iPad screen is frozen in landscape or portrait mode.,0.356475183
Others,OneDrive not syncing files or folders.,0.021772546
Others,Keyboard backlight not working as expected.,0.135815415
Others,My Apple Pencil isn't responding.,0.820330678
MC,Can I request a 3-day medical certificate starting today?,0.057260071
MC,"I must secure a 15-day MC due to a cellulitis infection, with my skin resembling a topographical map of red, swollen, and tender areas.",0.038079887
MC,"hi, I would like to take an MC today for 3 days",0.199859924
Others,"Hi, I won't be in class today due to a doctor's visit.",0.426092811
Others,Google Classroom app not compatible with the iPad's operating system.,0.782566957
Non MC,"I'm locked out of my house, and I'm waiting for a locksmith, so I won't be able to make it to work on time.",0.110566038
Others,The screen is frozen on the lock screen.,0.837924704
Others,I'm having technical issues with my Apple Pencil.,0.565901074
Others,Mouse cursor not appearing on the screen when using Bluetooth.,0.561681281
Others,MAC address filtering on the router blocking the iPad's connection.,0.930452591
Others,"Hi, I won't be in class today.",0.604163221
Others,"Connected to Wi-Fi, but no internet access on the laptop.",0.435034261
MC,I require a 44-day MC because of a chronic respiratory system disorder.,0.756362313
Others,OneDrive not responding or freezing during sync.,0.763345956
Others,"Hi, I'm not up for school today.",0.838314704
Others,Touchpad not recognized in the Windows Device Manager.,0.722807473
Others,Bluetooth mouse lag or delay in cursor movement.,0.118668784
MC,I need a 20-day MC because of pneumonia.,0.036325506
Non MC,"My roof is leaking, and I need to arrange for repairs, so I won't be in today.",0.094677659
Others,"Keyboard key combinations (e.g., Ctrl + Alt + Delete) not working.",0.695466762
Non MC,"My pet ran away, and I need to search for them, so I won't be in today.",0.820458157
Others,The touchpad not working after a Windows update.,0.851024897
Others,"""Authentication Required"" error when connecting to public Wi-Fi networks on the laptop.",0.242614012
Others,"Hi, my son just fell sick",0.521657637
MC,May I request a medical certificate for today and the next two days?,0.460015885
MC,"I'd like to obtain a medical certificate for today, tomorrow, and the day after tomorrow.",0.823097821
Others,"Hi, I'm feeling too unwell for school, and I have a doctor's appointment.",0.407624284
Others,The screen is frozen while attempting to unlock the iPad.,0.498232882
Others,Google Classroom app consuming excessive battery life.,0.377579638
Others,My Apple Pencil is acting up.,0.586319749
Others,Visible screen burn-in from prolonged display of static images.,0.672460285
Others,I can't get my Apple Pencil to work.,0.268849946
Others,"Stuck pixels, where individual pixels are always lit or always dark.",0.712130147
Others,Bluetooth mouse not pairing with the computer.,0.84661092
MC,"I must garner a 30-day MC as I navigate through the challenges posed by lupus, with my immune system mistakenly attacking my tissues.",0.426611539
MC,I need a 22-day MC because of recovery from gallbladder surgery.,0.013815919
MC,"I want to apply for a medical certificate for today, tomorrow, and the day after.",0.88416651
Others,Random characters or symbols appearing when typing.,0.483046425
Non MC,"My basement flooded overnight, and I need to deal with the cleanup, so I won't be in today.",0.706183232
Others,Unable to join a known Wi-Fi network on the laptop.,0.388145919
MC,May I have a 3-day medical certificate starting today?,0.753745998
Others,The touchpad not working in a specific application or program.,0.013137394
Others,Laptop speakers producing a popping noise when powering on or off.,0.617120961
Others,Delayed or out-of-sync audio from the laptop speakers.,0.26975783
Others,Unable to attach files or assignments in Google Classroom.,0.659747039
Others,Laptop keyboard not recognized by the operating system.,0.07515637
Others,Laptop keyboard not working after a hard reset or power cycle.,0.653627985
Others,Laptop speakers not working after waking from sleep or hibernation.,0.934447262
MC,I have to obtain a 10-day MC because of bronchitis.,0.252118367
Others,"Multitouch gestures (e.g., pinch-to-zoom) not functioning on the touchpad.",0.213984251
Others,Laptop screen frozen after waking from sleep or hibernation.,0.466947161
Others,"Hi, I'll be absent from school for a medical reason, specifically a doctor's appointment.",0.216258132
Others,My laptop screen is frozen,0.891739982
Others,iPad screen is stuck on the Apple logo during startup.,0.569362963
MC,I require a 29-day MC due to a severe nervous system disorder.,0.042009566
Others,The screen being overly sensitive to touch or not responding at all.,0.230454569
Non MC,"Unfortunately, my pet is sick, and I need to take them to the vet, so I won't be able to come to work.",0.730113131
Others,OneDrive not starting automatically with Windows.,0.232596508
Others,Keyboard settings not adjustable in Windows settings.,0.321522957
Others,OneDrive shared links not working.,0.032290794
MC,"I have a doctor's appointment that I can't reschedule, so I won't be at work today.",0.950775368
Others,Touchpad buttons not responding to clicks.,0.416333517
MC,I'm in need of a 3-day MC starting today.,0.06433073
MC,I need a 13-day MC due to undergoing a dental extraction procedure for an impacted molar wreaking havoc in my oral cavity.,0.484569723
Others,Weak or fluctuating Wi-Fi signal strength on the laptop.,0.357876962
Others,Left-click or right-click functions not working on the touchpad.,0.544067632
Others,"Hi, I'll be absent from school for a medical reason.",0.60717441
Others,"Hello, I'll be at the doctor's office instead of being at school.",0.331872011
Others,Router firmware needs an update to work with the laptop.,0.193856549
Others,Cursor speed on the touchpad is too slow or too fast.,0.171860347
Others,Mouse pointer moving erratically or unpredictably.,0.324928713
Others,Wi-Fi network password forgotten on the laptop.,0.167792173
Others,The touchpad not working after waking the laptop from sleep.,0.629873228
Others,Laptop speakers producing a buzzing or humming noise.,0.80899748
Others,Bright spots or areas on the screen.,0.789837169
MC,I require a 39-day MC due to a severe urinary system disorder.,0.327646775
Others,OneDrive web interface not loading.,0.643835883
Others,"Hi, I won't be in class today due to a scheduled doctor's visit.",0.619606968
MC,I need to see the doctor for a 15-day MC due to a skin infection.,0.196710205
Others,The screen is frozen after entering a passcode.,0.422147418
MC,I need to obtain a 4-day MC because of acute back pain.,0.147099495
MC,"I'd like to be issued a 3-day medical certificate, effective today.",0.571117974
MC,I need an 11-day MC due to recovery from a minor accident.,0.662628099
Others,Missing features or functionality in the Schoolwork app.,0.822107582
Others,Google Classroom app missing from the App Store on your iPad.,0.691583587
MC,"I’m compelled to obtain a 17-day MC due to sinusitis, with my sinuses behaving like overstuffed luggage, heavy and painful.",0.933950694
Others,Laptop keyboard not working in BIOS or during startup.,0.080581852
MC,I'd appreciate it if I could get a 3-day MC starting today.,0.222917316
Others,My OneDrive is having issues,0.996390655
MC,"Hi, my son is unwell so I will be taking a 1 day leave",0.552158121
Others,Weak or fluctuating Wi-Fi signal strength on the iPad.,0.267126604
Non MC,"My child's school has a water main break, and they need to be picked up early, so I can't come to work.",0.018238514
Others,Laptop keyboard not working in a specific application or program.,0.08730977
Others,My iPad screen has lines,0.285221315
Others,Wi-Fi interference from nearby devices affecting the laptop.,0.081972906
Others,Audio playback skipping or stuttering from the laptop speakers.,0.201943506
Others,"Hi, I'll be visiting the doctor during school hours.",0.289588997
Others,"Hi, I'll be seeing the doctor, so I can't make it to school.",0.297041803
Others,The screen is stuck on a loading spinner or progress indicator.,0.070493682
Others,Keyboard shortcuts not functioning on the laptop.,0.546424945
Others,Google Classroom app freezing or becoming unresponsive.,0.997760943
MC,"I had an allergic reaction to something I ate, and I need to see a doctor, so I won't be in today.",0.344016414
Non MC,"There's a major traffic accident on my route to work, and I'm stuck in gridlock, so I won't be in on time.",0.601338075
MC,I require a medical certificate for a 3-day leave starting today.,0.703481435
Others,Water damage causing screen malfunction.,0.369689509
MC,I’m necessitated to procure a 1-day MC due to an excruciating episode of tension headaches impeding my cognitive functions.,0.100759692
Others,"Hey, I have a medical check-up scheduled, which means I won't be in school.",0.681874004
Others,Laptop keyboard not responding to key presses.,0.671470615
Others,"Hey, I'm taking a sick day from school because of a doctor's appointment.",0.464058338
Non MC,"I had a sudden allergic reaction to medication, and I need to seek medical attention, so I won't be at work.",0.748674191
MC,I need a 22-day MC as I’m in the healing phase post a cholecystectomy to address gallstones obstructing my biliary ducts.,0.526564862
Others,Mouse pointer not moving smoothly with the Bluetooth connection.,0.058617148
Others,"Hi there, I won't be at school today because I'll be visiting the doctor.",0.956475618
Others,Sticky or physically damaged keys on the laptop keyboard.,0.621216551
Others,Wi-Fi connection drops when the laptop goes to sleep.,0.949664694
Others,DNS server issues affecting browsing on the laptop.,0.443620817
Others,Firewall or security software blocking internet access on the laptop.,0.64459106
MC,"I’m necessitated to acquire a 14-day MC as I navigate the aftermath of a wrist fracture due to a fall, with a cast hindering my mobility.",0.985331371
Others,iPad screen is frozen in a specific orientation.,0.932154418
Others,Problems with syncing assignments and due dates in Schoolwork.,0.492366897
Others,Freeze happening after resuming from hibernation.,0.804923208
Non MC,"I have a family emergency that I need to attend to, so I won't be at work today.",0.302435887
Others,Keyboard input lag or delay when typing.,0.738032885
MC,Can I have a 3-day medical certificate starting from today?,0.005039527
Others,Laptop keyboard layout suddenly changed.,0.726385481
MC,"I need a 7-day MC due to succumbing to a particularly nasty variant of salmonella, necessitating a period of recuperation and hydration.",0.57147236
Others,Problems with customizing or personalizing the Proloquo2Go vocabulary.,0.101190923
Others,Freeze happening after a recent hardware upgrade or driver update.,0.397305192
Others,"Hi there, I'm under the weather.",0.606488506
Others,Issues with the Proloquo2Go app crashing during communication.,0.56150321
Others,Laptop keyboard not working after a Windows update.,0.013435732
Others,Bluetooth mouse not connecting after a system update.,0.670823422
